ein,business_name,source_zip,source_entry
222623381,"JLTHOM CPA PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349302495_public.xml"
391989384,"Krause &amp; Associates SC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349302540_public.xml"
463500058,"PKF O'CONNOR DAVIES LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349302570_public.xml"
237455041,"WEINLANDER FITZHUGH PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349302800_public.xml"
870806881,"KENWOOD &amp; ASSOCIATES P C",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349302975_public.xml"
134241322,"CRAFT &amp; ASSOCIATES LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349303030_public.xml"
751861326,"Huber Prater &amp; Henson PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349303125_public.xml"
222417627,"Ditmars Perazza &amp; Co LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349303135_public.xml"
541558995,"Charlottesville Star Swim Team Inc",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349303225_public.xml"
810873968,"Joseph T Twardy Jr CPA LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349303440_public.xml"
351687687,"Bottom Line Advisors LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349303445_public.xml"
474728342,"Phillips Feldman Group",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349303615_public.xml"
843298910,"Wayland &amp; Vukadinovich LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349303630_public.xml"
202110306,"MCKENNA &amp; FRANCK CPA'S PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349303910_public.xml"
930312668,"WINDEDAHLRANGITSCHGROENEVELDNORTONLLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300129349304255_public.xml"
396698990,"ERNST &amp; YOUNG US LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349100000_public.xml"
581331545,"MAULDIN &amp; JENKINS LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349100305_public.xml"
754320138,"Wendling Noe Nelson &amp; Johnson LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349100320_public.xml"
201297080,"PRICEWATERHOUSECOOPERS LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349100405_public.xml"
043204363,"KURZMAN FAMILY CHARITABLE FOUNDATION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349100500_public.xml"
260215481,"Curt A Sittenauer CPA PA",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349100815_public.xml"
201629639,"ERIC ZHANG &amp; ASSOCIATES LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349100825_public.xml"
566036900,"PRICEWATERHOUSECOOPERS LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349101400_public.xml"
237288048,"PAULS ACCOUNTING &amp; TAX SERVICE",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349200100_public.xml"
222897978,"Premier Accounting Services PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349200315_public.xml"
274656798,"BDO USA LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349200520_public.xml"
462165940,"KENT L BROWN CPA",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349201015_public.xml"
461231975,"ZION SYNEK &amp; ASSOCIATES",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349201215_public.xml"
363522463,"DAUBY O'CONNOR &amp; ZALESKI LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349300110_public.xml"
450563249,"LOWCOUNTRY TAXES",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349300925_public.xml"
452727379,"RICHARD B HOMES CPA LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300139349301235_public.xml"
